protein_id,outcome_id,outcome_type,outcome_name,evidence,source
CCDC6 - coiled-coil domain containing 6 (human),"Anemia, Sideroblastic",Disease,"Anemia, Sideroblastic",MESH:D000756,CTD
CCDC6 - coiled-coil domain containing 6 (human),Anus Neoplasms,Disease,Anus Neoplasms,MESH:D001005,CTD
CCDC6 - coiled-coil domain containing 6 (human),"Arrhythmias, Cardiac",Disease,"Arrhythmias, Cardiac",MESH:D001145,CTD
CCDC6 - coiled-coil domain containing 6 (human),Autoimmune Diseases,Disease,Autoimmune Diseases,MESH:D001327,CTD
CCDC6 - coiled-coil domain containing 6 (human),Basal Cell Carcinoma,Disease,Basal Cell Carcinoma,MESH:D002280,CTD
CCDC6 - coiled-coil domain containing 6 (human),Bone Marrow Neoplasms,Disease,Bone Marrow Neoplasms,MESH:D019046,CTD
CCDC6 - coiled-coil domain containing 6 (human),Bone Neoplasms,Disease,Bone Neoplasms,MESH:D001859,CTD
CCDC6 - coiled-coil domain containing 6 (human),Brain Neoplasms,Disease,Brain Neoplasms,MESH:D001932,CTD
CCDC6 - coiled-coil domain containing 6 (human),Breast Neoplasms,Disease,Breast Neoplasms,MESH:D001943,CTD
CCDC6 - coiled-coil domain containing 6 (human),Bronchial Neoplasms,Disease,Bronchial Neoplasms,MESH:D001984,CTD
CCDC6 - coiled-coil domain containing 6 (human),Burkitt Lymphoma,Disease,Burkitt Lymphoma,MESH:D002051,CTD
CCDC6 - coiled-coil domain containing 6 (human),Carcinoid Tumor,Disease,Carcinoid Tumor,MESH:D002276,CTD
CCDC6 - coiled-coil domain containing 6 (human),Carcinoma,Disease,Carcinoma,MESH:D002277,CTD
CCDC6 - coiled-coil domain containing 6 (human),"Carcinoma, Adenosquamous",Disease,"Carcinoma, Adenosquamous",MESH:D018196,CTD
CCDC6 - coiled-coil domain containing 6 (human),"Carcinoma, Bronchogenic",Disease,"Carcinoma, Bronchogenic",MESH:D002283,CTD
CCDC6 - coiled-coil domain containing 6 (human),"Carcinoma, Ductal, Breast",Disease,"Carcinoma, Ductal, Breast",MESH:D018270,CTD
CCDC6 - coiled-coil domain containing 6 (human),"Carcinoma, Ehrlich Tumor",Disease,"Carcinoma, Ehrlich Tumor",MESH:D002286,CTD
CCDC6 - coiled-coil domain containing 6 (human),"Carcinoma, Embryonal",Disease,"Carcinoma, Embryonal",MESH:D018236,CTD
CCDC6 - coiled-coil domain containing 6 (human),"Carcinoma, Endometrioid",Disease,"Carcinoma, Endometrioid",MESH:D018269,CTD
CCDC6 - coiled-coil domain containing 6 (human),"Carcinoma, Hepatocellular",Disease,"Carcinoma, Hepatocellular",MESH:D006528,CTD
CCDC6 - coiled-coil domain containing 6 (human),Carcinoma in Situ,Disease,Carcinoma in Situ,MESH:D002278,CTD
CCDC6 - coiled-coil domain containing 6 (human),"Carcinoma, Large Cell",Disease,"Carcinoma, Large Cell",MESH:D018287,CTD
CCDC6 - coiled-coil domain containing 6 (human),"Carcinoma, Lewis Lung",Disease,"Carcinoma, Lewis Lung",MESH:D018827,CTD
CCDC6 - coiled-coil domain containing 6 (human),"Carcinoma, Merkel Cell",Disease,"Carcinoma, Merkel Cell",MESH:D015266,CTD
CCDC6 - coiled-coil domain containing 6 (human),"Carcinoma, Non-Small-Cell Lung",Disease,"Carcinoma, Non-Small-Cell Lung",MESH:D002289,CTD
CCDC6 - coiled-coil domain containing 6 (human),"Carcinoma, Ovarian Epithelial",Disease,"Carcinoma, Ovarian Epithelial",MESH:D000077216,CTD
CCDC6 - coiled-coil domain containing 6 (human),"Carcinoma, Pancreatic Ductal",Disease,"Carcinoma, Pancreatic Ductal",MESH:D021441,CTD
CCDC6 - coiled-coil domain containing 6 (human),"Carcinoma, Papillary",Disease,"Carcinoma, Papillary",MESH:D002291,CTD
CCDC6 - coiled-coil domain containing 6 (human),"Carcinoma, Renal Cell",Disease,"Carcinoma, Renal Cell",MESH:D002292,CTD
CCDC6 - coiled-coil domain containing 6 (human),"Carcinoma, Signet Ring Cell",Disease,"Carcinoma, Signet Ring Cell",MESH:D018279,CTD
CCDC6 - coiled-coil domain containing 6 (human),"Carcinoma, Small Cell",Disease,"Carcinoma, Small Cell",MESH:D018288,CTD
CCDC6 - coiled-coil domain containing 6 (human),"Carcinoma, Squamous Cell",Disease,"Carcinoma, Squamous Cell",MESH:D002294,CTD
CCDC6 - coiled-coil domain containing 6 (human),"Carcinoma, Transitional Cell",Disease,"Carcinoma, Transitional Cell",MESH:D002295,CTD
CCDC6 - coiled-coil domain containing 6 (human),Cardiac Conduction System Disease,Disease,Cardiac Conduction System Disease,MESH:D000075224,CTD
CCDC6 - coiled-coil domain containing 6 (human),"Cardiac Output, High",Disease,"Cardiac Output, High",MESH:D016534,CTD
CCDC6 - coiled-coil domain containing 6 (human),"Cardiac Output, Low",Disease,"Cardiac Output, Low",MESH:D002303,CTD
CCDC6 - coiled-coil domain containing 6 (human),Cardio-Renal Syndrome,Disease,Cardio-Renal Syndrome,MESH:D059347,CTD
CCDC6 - coiled-coil domain containing 6 (human),Cardiovascular Abnormalities,Disease,Cardiovascular Abnormalities,MESH:D018376,CTD
CCDC6 - coiled-coil domain containing 6 (human),Cardiovascular Diseases,Disease,Cardiovascular Diseases,MESH:D002318,CTD
CCDC6 - coiled-coil domain containing 6 (human),Central Nervous System Neoplasms,Disease,Central Nervous System Neoplasms,MESH:D016543,CTD
CCDC6 - coiled-coil domain containing 6 (human),Cerebrovascular Disorders,Disease,Cerebrovascular Disorders,MESH:D002561,CTD
CCDC6 - coiled-coil domain containing 6 (human),Cholangiocarcinoma,Disease,Cholangiocarcinoma,MESH:D018281,CTD
CCDC6 - coiled-coil domain containing 6 (human),"Cholestasis, Intrahepatic",Disease,"Cholestasis, Intrahepatic",MESH:D002780,CTD
CCDC6 - coiled-coil domain containing 6 (human),Choriocarcinoma,Disease,Choriocarcinoma,MESH:D002822,CTD
CCDC6 - coiled-coil domain containing 6 (human),Clear-cell metastatic renal cell carcinoma,Disease,Clear-cell metastatic renal cell carcinoma,MESH:C538445,CTD
CCDC6 - coiled-coil domain containing 6 (human),Colonic Neoplasms,Disease,Colonic Neoplasms,MESH:D003110,CTD
CCDC6 - coiled-coil domain containing 6 (human),Colorectal Neoplasms,Disease,Colorectal Neoplasms,MESH:D015179,CTD
CCDC6 - coiled-coil domain containing 6 (human),Congenital Hypothyroidism,Disease,Congenital Hypothyroidism,MESH:D003409,CTD
CCDC6 - coiled-coil domain containing 6 (human),Conotruncal cardiac defects,Disease,Conotruncal cardiac defects,MESH:C535464,CTD
CCDC6 - coiled-coil domain containing 6 (human),"Death, Sudden, Cardiac",Disease,"Death, Sudden, Cardiac",MESH:D016757,CTD
CCDC6 - coiled-coil domain containing 6 (human),"Dementia, Vascular",Disease,"Dementia, Vascular",MESH:D015140,CTD
CCDC6 - coiled-coil domain containing 6 (human),Desmoid Tumors,Disease,Desmoid Tumors,MESH:D018222,CTD
CCDC6 - coiled-coil domain containing 6 (human),Desmoplastic Small Round Cell Tumor,Disease,Desmoplastic Small Round Cell Tumor,MESH:D058405,CTD
CCDC6 - coiled-coil domain containing 6 (human),"Diabetes Mellitus, Congenital Autoimmune",Disease,"Diabetes Mellitus, Congenital Autoimmune",MESH:C565730,CTD
CCDC6 - coiled-coil domain containing 6 (human),Disseminated Intravascular Coagulation,Disease,Disseminated Intravascular Coagulation,MESH:D004211,CTD
CCDC6 - coiled-coil domain containing 6 (human),"Edema, Cardiac",Disease,"Edema, Cardiac",MESH:D004489,CTD
CCDC6 - coiled-coil domain containing 6 (human),"Encephalomyelitis, Autoimmune, Experimental",Disease,"Encephalomyelitis, Autoimmune, Experimental",MESH:D004681,CTD
CCDC6 - coiled-coil domain containing 6 (human),Endometrial Neoplasms,Disease,Endometrial Neoplasms,MESH:D016889,CTD
CCDC6 - coiled-coil domain containing 6 (human),Esophageal Neoplasms,Disease,Esophageal Neoplasms,MESH:D004938,CTD
CCDC6 - coiled-coil domain containing 6 (human),Esophageal Squamous Cell Carcinoma,Disease,Esophageal Squamous Cell Carcinoma,MESH:D000077277,CTD
CCDC6 - coiled-coil domain containing 6 (human),Euthyroid Sick Syndromes,Disease,Euthyroid Sick Syndromes,MESH:D005067,CTD
CCDC6 - coiled-coil domain containing 6 (human),Fallopian Tube Neoplasms,Disease,Fallopian Tube Neoplasms,MESH:D005185,CTD
CCDC6 - coiled-coil domain containing 6 (human),Familial primary gastric lymphoma,Disease,Familial primary gastric lymphoma,MESH:C535648,CTD
CCDC6 - coiled-coil domain containing 6 (human),Gallbladder Neoplasms,Disease,Gallbladder Neoplasms,MESH:D005706,CTD
CCDC6 - coiled-coil domain containing 6 (human),Gastrointestinal Neoplasms,Disease,Gastrointestinal Neoplasms,MESH:D005770,CTD
CCDC6 - coiled-coil domain containing 6 (human),"Genital Neoplasms, Female",Disease,"Genital Neoplasms, Female",MESH:D005833,CTD
CCDC6 - coiled-coil domain containing 6 (human),"Glycosuria, Renal",Disease,"Glycosuria, Renal",MESH:D006030,CTD
CCDC6 - coiled-coil domain containing 6 (human),Granulosa cell tumor of the ovary,Disease,Granulosa cell tumor of the ovary,MESH:C537296,CTD
CCDC6 - coiled-coil domain containing 6 (human),Head and Neck Neoplasms,Disease,Head and Neck Neoplasms,MESH:D006258,CTD
CCDC6 - coiled-coil domain containing 6 (human),Hematologic Neoplasms,Disease,Hematologic Neoplasms,MESH:D019337,CTD
CCDC6 - coiled-coil domain containing 6 (human),Hepatic Encephalopathy,Disease,Hepatic Encephalopathy,MESH:D006501,CTD
CCDC6 - coiled-coil domain containing 6 (human),Hepatic Insufficiency,Disease,Hepatic Insufficiency,MESH:D048550,CTD
CCDC6 - coiled-coil domain containing 6 (human),Hepatic Veno-Occlusive Disease,Disease,Hepatic Veno-Occlusive Disease,MESH:D006504,CTD
CCDC6 - coiled-coil domain containing 6 (human),Hepatorenal Syndrome,Disease,Hepatorenal Syndrome,MESH:D006530,CTD
CCDC6 - coiled-coil domain containing 6 (human),Hypertension,Disease,Hypertension,MESH:D006973,CTD
CCDC6 - coiled-coil domain containing 6 (human),"Hypertension, Malignant",Disease,"Hypertension, Malignant",MESH:D006974,CTD
CCDC6 - coiled-coil domain containing 6 (human),"Hypertension, Portal",Disease,"Hypertension, Portal",MESH:D006975,CTD
CCDC6 - coiled-coil domain containing 6 (human),"Hypertension, Pregnancy-Induced",Disease,"Hypertension, Pregnancy-Induced",MESH:D046110,CTD
CCDC6 - coiled-coil domain containing 6 (human),"Hypertension, Pulmonary",Disease,"Hypertension, Pulmonary",MESH:D006976,CTD
CCDC6 - coiled-coil domain containing 6 (human),"Hypertension, Renal",Disease,"Hypertension, Renal",MESH:D006977,CTD
CCDC6 - coiled-coil domain containing 6 (human),"Hypertension, Renovascular",Disease,"Hypertension, Renovascular",MESH:D006978,CTD
CCDC6 - coiled-coil domain containing 6 (human),Hyperthyroidism,Disease,Hyperthyroidism,MESH:D006980,CTD
CCDC6 - coiled-coil domain containing 6 (human),"Hypomagnesemia 2, renal",Disease,"Hypomagnesemia 2, renal",MESH:C537152,CTD
CCDC6 - coiled-coil domain containing 6 (human),Hypopharyngeal Neoplasms,Disease,Hypopharyngeal Neoplasms,MESH:D007012,CTD
CCDC6 - coiled-coil domain containing 6 (human),Hypothyroidism,Disease,Hypothyroidism,MESH:D007037,CTD
CCDC6 - coiled-coil domain containing 6 (human),"Hypothyroidism, Autoimmune",Disease,"Hypothyroidism, Autoimmune",MESH:C562768,CTD
CCDC6 - coiled-coil domain containing 6 (human),Immune Complex Diseases,Disease,Immune Complex Diseases,MESH:D007105,CTD
CCDC6 - coiled-coil domain containing 6 (human),IMMUNE SUPPRESSION,Disease,IMMUNE SUPPRESSION,OMIM:146850,CTD
CCDC6 - coiled-coil domain containing 6 (human),Immune System Diseases,Disease,Immune System Diseases,MESH:D007154,CTD
CCDC6 - coiled-coil domain containing 6 (human),Inflammatory Breast Neoplasms,Disease,Inflammatory Breast Neoplasms,MESH:D058922,CTD
CCDC6 - coiled-coil domain containing 6 (human),Intestinal Neoplasms,Disease,Intestinal Neoplasms,MESH:D007414,CTD
CCDC6 - coiled-coil domain containing 6 (human),Intracranial Hypertension,Disease,Intracranial Hypertension,MESH:D019586,CTD
CCDC6 - coiled-coil domain containing 6 (human),Kidney Neoplasms,Disease,Kidney Neoplasms,MESH:D007680,CTD
CCDC6 - coiled-coil domain containing 6 (human),Laryngeal Neoplasms,Disease,Laryngeal Neoplasms,MESH:D007822,CTD
CCDC6 - coiled-coil domain containing 6 (human),Leukemia,Disease,Leukemia,MESH:D007938,CTD
CCDC6 - coiled-coil domain containing 6 (human),"Leukemia, Erythroblastic, Acute",Disease,"Leukemia, Erythroblastic, Acute",MESH:D004915,CTD
CCDC6 - coiled-coil domain containing 6 (human),"Leukemia, Experimental",Disease,"Leukemia, Experimental",MESH:D007942,CTD
CCDC6 - coiled-coil domain containing 6 (human),Leukemia L1210,Disease,Leukemia L1210,MESH:D007939,CTD
CCDC6 - coiled-coil domain containing 6 (human),"Leukemia, Lymphocytic, Chronic, B-Cell",Disease,"Leukemia, Lymphocytic, Chronic, B-Cell",MESH:D015451,CTD
CCDC6 - coiled-coil domain containing 6 (human),"Leukemia, Lymphoid",Disease,"Leukemia, Lymphoid",MESH:D007945,CTD
CCDC6 - coiled-coil domain containing 6 (human),"Leukemia-Lymphoma, Adult T-Cell",Disease,"Leukemia-Lymphoma, Adult T-Cell",MESH:D015459,CTD
CCDC6 - coiled-coil domain containing 6 (human),"Leukemia, Monocytic, Acute",Disease,"Leukemia, Monocytic, Acute",MESH:D007948,CTD
CCDC6 - coiled-coil domain containing 6 (human),"Leukemia, Myelogenous, Chronic, BCR-ABL Positive",Disease,"Leukemia, Myelogenous, Chronic, BCR-ABL Positive",MESH:D015464,CTD
CCDC6 - coiled-coil domain containing 6 (human),"Leukemia, Myeloid",Disease,"Leukemia, Myeloid",MESH:D007951,CTD
CCDC6 - coiled-coil domain containing 6 (human),"Leukemia, Myeloid, Acute",Disease,"Leukemia, Myeloid, Acute",MESH:D015470,CTD
CCDC6 - coiled-coil domain containing 6 (human),"Leukemia, Plasma Cell",Disease,"Leukemia, Plasma Cell",MESH:D007952,CTD
CCDC6 - coiled-coil domain containing 6 (human),"Leukemia, Prolymphocytic, T-Cell",Disease,"Leukemia, Prolymphocytic, T-Cell",MESH:D015461,CTD
CCDC6 - coiled-coil domain containing 6 (human),"Leukemia, Promyelocytic, Acute",Disease,"Leukemia, Promyelocytic, Acute",MESH:D015473,CTD
CCDC6 - coiled-coil domain containing 6 (human),"Leukemia, Radiation-Induced",Disease,"Leukemia, Radiation-Induced",MESH:D007953,CTD
CCDC6 - coiled-coil domain containing 6 (human),"Leukemia, T-Cell",Disease,"Leukemia, T-Cell",MESH:D015458,CTD
CCDC6 - coiled-coil domain containing 6 (human),Leydig Cell Tumor,Disease,Leydig Cell Tumor,MESH:D007984,CTD
CCDC6 - coiled-coil domain containing 6 (human),Liver Neoplasms,Disease,Liver Neoplasms,MESH:D008113,CTD
CCDC6 - coiled-coil domain containing 6 (human),"Liver Neoplasms, Experimental",Disease,"Liver Neoplasms, Experimental",MESH:D008114,CTD
CCDC6 - coiled-coil domain containing 6 (human),Lung agenesis,Disease,Lung agenesis,MESH:C562992,CTD
CCDC6 - coiled-coil domain containing 6 (human),Lung Diseases,Disease,Lung Diseases,MESH:D008171,CTD
CCDC6 - coiled-coil domain containing 6 (human),"Lung Diseases, Interstitial",Disease,"Lung Diseases, Interstitial",MESH:D017563,CTD
CCDC6 - coiled-coil domain containing 6 (human),"Lung Diseases, Obstructive",Disease,"Lung Diseases, Obstructive",MESH:D008173,CTD
CCDC6 - coiled-coil domain containing 6 (human),Lung Injury,Disease,Lung Injury,MESH:D055370,CTD
CCDC6 - coiled-coil domain containing 6 (human),Lung Neoplasms,Disease,Lung Neoplasms,MESH:D008175,CTD
CCDC6 - coiled-coil domain containing 6 (human),Lymphatic Metastasis,Disease,Lymphatic Metastasis,MESH:D008207,CTD
CCDC6 - coiled-coil domain containing 6 (human),Lymphoma,Disease,Lymphoma,MESH:D008223,CTD
CCDC6 - coiled-coil domain containing 6 (human),"Lymphoma, AIDS-Related",Disease,"Lymphoma, AIDS-Related",MESH:D016483,CTD
CCDC6 - coiled-coil domain containing 6 (human),"Lymphoma, B-Cell",Disease,"Lymphoma, B-Cell",MESH:D016393,CTD
CCDC6 - coiled-coil domain containing 6 (human),"Lymphoma, Extranodal NK-T-Cell",Disease,"Lymphoma, Extranodal NK-T-Cell",MESH:D054391,CTD
CCDC6 - coiled-coil domain containing 6 (human),"Lymphoma, Follicular",Disease,"Lymphoma, Follicular",MESH:D008224,CTD
CCDC6 - coiled-coil domain containing 6 (human),"Lymphoma, Large B-Cell, Diffuse",Disease,"Lymphoma, Large B-Cell, Diffuse",MESH:D016403,CTD
CCDC6 - coiled-coil domain containing 6 (human),"Lymphoma, Mantle-Cell",Disease,"Lymphoma, Mantle-Cell",MESH:D020522,CTD
CCDC6 - coiled-coil domain containing 6 (human),"Lymphoma, Non-Hodgkin",Disease,"Lymphoma, Non-Hodgkin",MESH:D008228,CTD
CCDC6 - coiled-coil domain containing 6 (human),"Lymphoma, Primary Effusion",Disease,"Lymphoma, Primary Effusion",MESH:D054685,CTD
CCDC6 - coiled-coil domain containing 6 (human),"Lymphoma, T-Cell",Disease,"Lymphoma, T-Cell",MESH:D016399,CTD
CCDC6 - coiled-coil domain containing 6 (human),"Lymphoma, T-Cell, Cutaneous",Disease,"Lymphoma, T-Cell, Cutaneous",MESH:D016410,CTD
CCDC6 - coiled-coil domain containing 6 (human),Male Germ Cell Tumor,Disease,Male Germ Cell Tumor,MESH:C564777,CTD
CCDC6 - coiled-coil domain containing 6 (human),"Mammary Neoplasms, Animal",Disease,"Mammary Neoplasms, Animal",MESH:D015674,CTD
CCDC6 - coiled-coil domain containing 6 (human),"Mammary Neoplasms, Experimental",Disease,"Mammary Neoplasms, Experimental",MESH:D008325,CTD
CCDC6 - coiled-coil domain containing 6 (human),Massive Hepatic Necrosis,Disease,Massive Hepatic Necrosis,MESH:D047508,CTD
CCDC6 - coiled-coil domain containing 6 (human),Maxillary Sinus Neoplasms,Disease,Maxillary Sinus Neoplasms,MESH:D008444,CTD
CCDC6 - coiled-coil domain containing 6 (human),Mouth Neoplasms,Disease,Mouth Neoplasms,MESH:D009062,CTD
CCDC6 - coiled-coil domain containing 6 (human),Nasopharyngeal Carcinoma,Disease,Nasopharyngeal Carcinoma,MESH:D000077274,CTD
CCDC6 - coiled-coil domain containing 6 (human),Nasopharyngeal Neoplasms,Disease,Nasopharyngeal Neoplasms,MESH:D009303,CTD
CCDC6 - coiled-coil domain containing 6 (human),Neoplasm Invasiveness,Disease,Neoplasm Invasiveness,MESH:D009361,CTD
CCDC6 - coiled-coil domain containing 6 (human),Neoplasm Metastasis,Disease,Neoplasm Metastasis,MESH:D009362,CTD
CCDC6 - coiled-coil domain containing 6 (human),"Neoplasm Recurrence, Local",Disease,"Neoplasm Recurrence, Local",MESH:D009364,CTD
CCDC6 - coiled-coil domain containing 6 (human),Neoplasms,Disease,Neoplasms,MESH:D009369,CTD
CCDC6 - coiled-coil domain containing 6 (human),"Neoplasms, Bone Tissue",Disease,"Neoplasms, Bone Tissue",MESH:D018213,CTD
CCDC6 - coiled-coil domain containing 6 (human),"Neoplasms, Experimental",Disease,"Neoplasms, Experimental",MESH:D009374,CTD
CCDC6 - coiled-coil domain containing 6 (human),"Neoplasms, Germ Cell and Embryonal",Disease,"Neoplasms, Germ Cell and Embryonal",MESH:D009373,CTD
CCDC6 - coiled-coil domain containing 6 (human),"Neoplasms, Glandular and Epithelial",Disease,"Neoplasms, Glandular and Epithelial",MESH:D009375,CTD
CCDC6 - coiled-coil domain containing 6 (human),"Neoplasms, Mesothelial",Disease,"Neoplasms, Mesothelial",MESH:D018301,CTD
CCDC6 - coiled-coil domain containing 6 (human),"Neovascularization, Pathologic",Disease,"Neovascularization, Pathologic",MESH:D009389,CTD
CCDC6 - coiled-coil domain containing 6 (human),Neuroectodermal Tumors,Disease,Neuroectodermal Tumors,MESH:D017599,CTD
CCDC6 - coiled-coil domain containing 6 (human),"Neuroectodermal Tumors, Primitive",Disease,"Neuroectodermal Tumors, Primitive",MESH:D018242,CTD
CCDC6 - coiled-coil domain containing 6 (human),"Neuroectodermal Tumors, Primitive, Peripheral",Disease,"Neuroectodermal Tumors, Primitive, Peripheral",MESH:D018241,CTD
CCDC6 - coiled-coil domain containing 6 (human),Neutropenia,Disease,Neutropenia,MESH:D009503,CTD
CCDC6 - coiled-coil domain containing 6 (human),Nonseminomatous germ cell tumor,Disease,Nonseminomatous germ cell tumor,MESH:C537844,CTD
CCDC6 - coiled-coil domain containing 6 (human),Nose Neoplasms,Disease,Nose Neoplasms,MESH:D009669,CTD
CCDC6 - coiled-coil domain containing 6 (human),Ocular Hypertension,Disease,Ocular Hypertension,MESH:D009798,CTD
CCDC6 - coiled-coil domain containing 6 (human),Ovarian Neoplasms,Disease,Ovarian Neoplasms,MESH:D010051,CTD
CCDC6 - coiled-coil domain containing 6 (human),"Pancreatic cancer, adult",Disease,"Pancreatic cancer, adult",MESH:C535836,CTD
CCDC6 - coiled-coil domain containing 6 (human),Pancreatic Neoplasms,Disease,Pancreatic Neoplasms,MESH:D010190,CTD
CCDC6 - coiled-coil domain containing 6 (human),"Paraganglioma, Extra-Adrenal",Disease,"Paraganglioma, Extra-Adrenal",MESH:D010236,CTD
CCDC6 - coiled-coil domain containing 6 (human),Paraquat lung,Disease,Paraquat lung,MESH:C537171,CTD
CCDC6 - coiled-coil domain containing 6 (human),Peripheral Vascular Diseases,Disease,Peripheral Vascular Diseases,MESH:D016491,CTD
CCDC6 - coiled-coil domain containing 6 (human),Pharyngeal Neoplasms,Disease,Pharyngeal Neoplasms,MESH:D010610,CTD
CCDC6 - coiled-coil domain containing 6 (human),Phyllodes Tumor,Disease,Phyllodes Tumor,MESH:D003557,CTD
CCDC6 - coiled-coil domain containing 6 (human),Pituitary Neoplasms,Disease,Pituitary Neoplasms,MESH:D010911,CTD
CCDC6 - coiled-coil domain containing 6 (human),Pleural Neoplasms,Disease,Pleural Neoplasms,MESH:D010997,CTD
CCDC6 - coiled-coil domain containing 6 (human),"Porphyrias, Hepatic",Disease,"Porphyrias, Hepatic",MESH:D017094,CTD
CCDC6 - coiled-coil domain containing 6 (human),Precancerous Conditions,Disease,Precancerous Conditions,MESH:D011230,CTD
CCDC6 - coiled-coil domain containing 6 (human),Precursor B-Cell Lymphoblastic Leukemia-Lymphoma,Disease,Precursor B-Cell Lymphoblastic Leukemia-Lymphoma,MESH:D015452,CTD
CCDC6 - coiled-coil domain containing 6 (human),Precursor Cell Lymphoblastic Leukemia-Lymphoma,Disease,Precursor Cell Lymphoblastic Leukemia-Lymphoma,MESH:D054198,CTD
CCDC6 - coiled-coil domain containing 6 (human),Precursor T-Cell Lymphoblastic Leukemia-Lymphoma,Disease,Precursor T-Cell Lymphoblastic Leukemia-Lymphoma,MESH:D054218,CTD
CCDC6 - coiled-coil domain containing 6 (human),Prostatic Neoplasms,Disease,Prostatic Neoplasms,MESH:D011471,CTD
CCDC6 - coiled-coil domain containing 6 (human),Pseudolymphoma,Disease,Pseudolymphoma,MESH:D019310,CTD
CCDC6 - coiled-coil domain containing 6 (human),Pseudotumor Cerebri,Disease,Pseudotumor Cerebri,MESH:D011559,CTD
CCDC6 - coiled-coil domain containing 6 (human),Pulmonary Arterial Hypertension,Disease,Pulmonary Arterial Hypertension,MESH:D000081029,CTD
CCDC6 - coiled-coil domain containing 6 (human),Rectal Neoplasms,Disease,Rectal Neoplasms,MESH:D012004,CTD
CCDC6 - coiled-coil domain containing 6 (human),Renal Artery Obstruction,Disease,Renal Artery Obstruction,MESH:D012078,CTD
CCDC6 - coiled-coil domain containing 6 (human),Renal hypouricemia,Disease,Renal hypouricemia,MESH:C537757,CTD
CCDC6 - coiled-coil domain containing 6 (human),Renal Insufficiency,Disease,Renal Insufficiency,MESH:D051437,CTD
CCDC6 - coiled-coil domain containing 6 (human),"Renal Insufficiency, Chronic",Disease,"Renal Insufficiency, Chronic",MESH:D051436,CTD
CCDC6 - coiled-coil domain containing 6 (human),Salivary Gland Neoplasms,Disease,Salivary Gland Neoplasms,MESH:D012468,CTD
CCDC6 - coiled-coil domain containing 6 (human),Sigmoid Neoplasms,Disease,Sigmoid Neoplasms,MESH:D012811,CTD
CCDC6 - coiled-coil domain containing 6 (human),Skin Neoplasms,Disease,Skin Neoplasms,MESH:D012878,CTD
CCDC6 - coiled-coil domain containing 6 (human),Small Cell Lung Carcinoma,Disease,Small Cell Lung Carcinoma,MESH:D055752,CTD
CCDC6 - coiled-coil domain containing 6 (human),Soft Tissue Neoplasms,Disease,Soft Tissue Neoplasms,MESH:D012983,CTD
CCDC6 - coiled-coil domain containing 6 (human),Splenic Neoplasms,Disease,Splenic Neoplasms,MESH:D013160,CTD
CCDC6 - coiled-coil domain containing 6 (human),Squamous Cell Carcinoma of Head and Neck,Disease,Squamous Cell Carcinoma of Head and Neck,MESH:D000077195,CTD
CCDC6 - coiled-coil domain containing 6 (human),Stomach Neoplasms,Disease,Stomach Neoplasms,MESH:D013274,CTD
CCDC6 - coiled-coil domain containing 6 (human),Testicular Germ Cell Tumor,Disease,Testicular Germ Cell Tumor,MESH:C563236,CTD
