source,relation,target,value,unit,metadata,source_file
Pralsetinib,co_occurs_with_chemical,Pemigatinib,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_chemical,Cyanogen,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_chemical,Iodine Radioisotopes,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_chemical,Ensartinib,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_chemical,Nintedanib,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_chemical,Gefitinib,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_chemical,Piperidines,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_chemical,Creatine,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_chemical,Temozolomide,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_chemical,Tetranitromethane,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_chemical,Motesanib Diphosphate,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_chemical,Fluorodeoxyglucose,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_chemical,Methyl Ethyl Ketone,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_chemical,"l-aspartic acid, sodium salt",Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_chemical,Thyroxine,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_chemical,Capecitabine,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_chemical,Etoposide,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_chemical,Tucatinib,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_chemical,Sotorasib,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_chemical,Agerafenib,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_chemical,Fludeoxyglucose F-18,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_chemical,Selitrectinib,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_chemical,Cobimetinib (racemate),Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_chemical,"Methyl (1R,10S,11R,19R)-11-acetyloxy-12-ethyl-4-[(12R,13S,14S)-16-ethyl-12-methoxycarbonyl-1,10-diazatetracyclo[12.3.1.03,11.04,9]octadeca-3(11),4,6,8,15-pentaen-13-yl]-10-hydroxy-5-methoxy-8-methyl-8,16-diazapentacyclo[10.6.1.01,9.02,7.016,19]nonadeca-2(7),3,5,13-tetraene-10-carboxylate",Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_chemical,"5-Chloro-N2-(4-(4-(dimethylamino)-1-piperidinyl)-2-methoxyphenyl)-N4-(2-(dimethylphosphinyl)phenyl)-2,4-pyrimidinediamine",Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_chemical,Dacomitinib,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_chemical,D-Cysteine,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_chemical,Zoledronic Acid,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_chemical,Erdafitinib,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_chemical,Everolimus,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_chemical,Imatinib,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_chemical,creatinine,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_chemical,L-Alanine,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_chemical,Encorafenib,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_chemical,Dacarbazine,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_chemical,4-(3-Chloro-4-(((cyclopropylamino)carbonyl)amino)phenoxy)-7-hydroxy-6-quinolinecarboxamide,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_chemical,Eosin,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_chemical,Palbociclib,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_chemical,Neratinib,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_chemical,Acetonitrile,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_chemical,Formaldehyde,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_chemical,Poziotinib,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_chemical,Alpelisib,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_chemical,Valganciclovir,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_chemical,Formic Acid,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_chemical,Entecavir,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_chemical,Hematoxyline,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_chemical,Bilirubin,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_chemical,Pazopanib Hydrochloride,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_chemical,Pyrimidinones,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_chemical,Avapritinib,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_chemical,Elacridar,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_chemical,Iodine,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_chemical,Sodium Iodide,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_chemical,"5-[2-(8-amino-1,7-naphthyridin-5-yl)ethynyl]-N-[4-[(4-methylpiperazin-1-yl)methyl]-3-(trifluoromethyl)phenyl]pyridine-3-carboxamide",Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_chemical,"(1,1'-Biphenyl)-3,3',4,4'-tetramine tetrahydrochloride dihydrate",Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_chemical,"2,2'-((Dihydro-2-(4-pyridinyl)-1,3(2H,4H)-pyrimidinediyl)bis(methylene))bis(N,N-dimethylbenzenamine)",Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_chemical,Somatostatin,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_chemical,Adagrasib,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_chemical,Arsenic Trioxide,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_chemical,Ivosidenib,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_chemical,Irinotecan,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Co-Occurrences-in-Literature_CID_129073603.json
