PubChem_Literature_ID_(PCLID),PMCID,DOI,PMID_(All),DOI_(All),PubChem_Data_Source,Publication_Type,Title,Abstract,Publication_Name,Author(s),Author_Affiliation(s),Language,Subject,URL,Image_used_as_thumbnail,Keywords,Citation,PubChem_CID,PubChem_SID,PubChem_AID,PubChem_Concept_ID,PubChem_Protein,PubChem_Gene,PubChem_Taxonomy,PubChem_Target_Taxonomy,PubChem_Pathway,PubChem_Pathway,PubChem_Cell,cellaccs,PubChem_Disease,PubChem_Reference_SID,PMID,Publication_Date
37354694,,10.1208/s12248-024-00935-5,38886275,10.1208/s12248-024-00935-5,Springer Nature,Journal Article|Review,Doses Evaluated in Clinical Pharmacology Studies Investigating the Effect of Intrinsic and Extrinsic Factors on PK and Safety: Case Examples from Approved Drug Development Programs,"Dose selection for investigations of intrinsic and extrinsic factors of pharmacokinetic variability as well as safety is a challenging question in the early clinical stage of drug development. The dose of an investigational product is chosen considering the compound information available to date, feasibility of the assessments, regulatory requirements, and the intent to maximize information for later regulatory submission. This review selected 37 programs as case examples of recently approved drugs to explore the doses selected with focus on studies of drug interaction, renal and hepatic impairment, food effect and concentration-QTc assessment.The review found that regulatory agencies may consider alternative approaches if justified and safe as illustrated in these examples. It is thus recommendable to use the first in human trial as an opportunity to assess QT-prolongation and drug interactions using probes or endogenous markers while maximizing the DDI potential, increasing sensitivity and ensuring safety. Early understanding of dose proportionality assists dose finding and simple and fast to conduct DDI study designs are advantageous. Single dose impairment studies despite non-proportional/time-dependent PK are often acceptability.Overall, the early understanding of the drug's safety profile is essential to ensure the safety of doses selected while preventing clinical trials with unnecessary exposure when using high doses or multiple doses. The information collected in this retrospective survey is a good reminder to tailor the early clinical program to the profile and needs of the molecule and consider regulatory opportunities to streamline the development path.",The AAPS Journal,"Rudiger Kaspera, Yoshihisa Shitara",,English,"Pharmaceutical Preparations/administration & dosage; Dose-Response Relationship, Drug*; Biomedical and Life Sciences; Pharmacokinetics; Drug Development*/methods; Humans; Drug Approval; Food-Drug Interactions; Drug Interactions; Clinical Trials as Topic/methods; Pharmacology, Clinical/methods; Drug-Related Side Effects and Adverse Reactions/prevention & control",https://pubmed.ncbi.nlm.nih.gov/38886275,,"QT, drug interaction, extrinsic, food effect, hepatic impairment, intrinsic, pharmacokinetics, phase I, renal impairment, therapeutic dose","Kaspera R, Shitara Y. Doses Evaluated in Clinical Pharmacology Studies Investigating the Effect of Intrinsic and Extrinsic Factors on PK and Safety: Case Examples from Approved Drug Development Programs. AAPS J. 2024 Jun 17;26(4):71. doi: 10.1208/s12248-024-00935-5. PMID: 38886275.",3365|5505|92727|148195|213039|392622|9829523|9837243|9854012|9913767|10130337|10472693|11224984|11250029|11319217|11511120|11551689|24958200|25145656|44139752|44591583|44599207|49846579|52938427|53239799|53465279|54674461|58557659|67171867|71496458|71731823|77843966|118023034|118513932|129073603|134436906|135398735|137528262,341139594|341141161|341141385|341141464|341141501|341142810|341142915|341142972|341142976|341151787|341152125|341157797|341160703|341161229|341164067|341187332|341188644|341188650|341188804|341189483|341189492|341189835|341191038|341191455|341194964|341487865|341714605|341744956|354343909|354700360|375580810|375739001|382372025|384292242|438790518|438790727|438790728|439595373,,,,,,,,,,,,481107171|481107300|481107654|481107832|483926612|483926700|483926734|483927077|483927202|483927295|483927334|483927380|483927449|483927561|483927573|483927624|483927632|483927676|483928027|483928057|483928205|483928227|483928356|483928396|483928398|483928427|483928437|483928487|483928543|483928795|483928884|483928975|483929249|483929267|505580877|505580924|505596088,38886275,20240617
764264081,,10.1186/s41120-024-00094-z,,10.1186/s41120-024-00094-z,Springer Nature,Journal Article,Recent progress of small-molecule of RET inhibitors against Non-small cell lung cancer,"Abstract: Since the oncogenic rearranged during transfection (RET) gene fusion was discovered in non-small cell lung cancer (NSCLC) in 2012, multiple-targeted kinase inhibitors (MKIs) cabozantinib and vandetanib have been explored in the clinic for RET positive NSCLC patients. As the nonselective nature of these inhibitors, patients have off-target adverse effects. The discovery of highly potent selective RET inhibitors such as pralsetinib and selpercatinib improve the clinic efficiency and more favorable toxicity profile. However, acquired resistance mediated by secondary mutations in the solvent-front region of the kinase (e.g. G810C/S/R) become a new challenge for selective RET inhibitor therapies. In this review, we highlight typical RET inhibitors developed during these years and provide a reference for more potential RET inhibitors exploration in the future.",AAPS Open,"Jiayi Shen, Liping Chen, Yulan Song, Sheng Chen, Wei Guo, Yongdong Li",,English,Biomedical and Life Sciences,https://doi.org/10.1186/s41120-024-00094-z,,,"Shen J, Chen L, Song Y, Chen S, Guo W, Li Y. Recent progress of small-molecule of RET inhibitors against Non-small cell lung cancer. AAPS Open. 2024 Jun 17;10(1). doi: 10.1186/s41120-024-00094-z.",2331|216239|261591|406563|3081361|4173048|9823820|25102847|53385502|58289128|129073603|134164132|134436906|162673880,341141089|341141205|341143076|341143133|341186753|341240775|341320679|341680162|438790727|438790728|483571945|496147897|496147924|496147952,,,,,,,,,,,,481106925|481107592|483927624|483927890|483928975|483929222|483929251,,20240617
764542321,,10.1007/s40278-024-60706-8,,10.1007/s40278-024-60706-8,Springer Nature,Journal Article,Antineoplastics,,Reactions Weekly,,,English,Medicine,https://doi.org/10.1007/s40278-024-60706-8,,,Antineoplastics. Reactions Weekly. 2024 Jun 15;2012(1):43. doi: 10.1007/s40278-024-60706-8.,5702198|25102847|129073603|134436906|135565230,341139396|341139746|341143133|438790727|438790728,,,,,,,,,,,,481107445|481108036|483927624|483927890|483928975,,20240615
37299098,PMC12416437,10.1245/s10434-024-15500-9,38847983,10.1245/s10434-024-15500-9,Springer Nature,Journal Article,Defining the Genomic Landscape of Diffuse Sclerosing Papillary Thyroid Carcinoma: Prognostic Implications of RET Fusions,"BACKGROUND: Diffuse sclerosing papillary thyroid carcinoma (DSPTC) is an aggressive histopathologic subtype of papillary thyroid carcinoma. Correlation between genotype and phenotype has not been comprehensively described. This study aimed to describe the genomic landscape of DSPTC comprehensively using next-generation sequencing (NGS), analyze the prognostic implications of different mutations, and identify potential molecular treatment targets. METHODS: Tumor tissue was available for 41 DSPTC patients treated at Memorial Sloan Kettering Cancer Center between 2004 and 2021. After DNA extraction, NGS was performed using the Memorial Sloan Kettering Integrated Mutation Profiling of Actionable Cancer Targets platform, which sequences 505 critical cancer genes. Clinicopathologic characteristics were compared using the chi-square test. The Kaplan-Meier method and log-rank statistics were used to compare outcomes. RESULTS: The most common mutation was RET fusion, occurring in 32% (13/41) of the patients. Other oncologic drivers occurred in 68% (28/41) of the patients, including 8 BRAFV600E mutations (20%) and 4 USP8 mutations (10%), which have not been described in thyroid malignancy previously. Patients experienced RET fusion-positive tumors at a younger age than other drivers, with more aggressive histopathologic features and more advanced T stage (p = 0.019). Patients who were RET fusion-positive had a significantly poorer 5-year recurrence-free survival probability than those with other drivers (46% vs 84%; p = 0.003; median follow-up period, 45 months). In multivariable analysis, RET fusion was the only independent risk factor for recurrence (hazard ratio [HR], 7.69; p = 0.017). CONCLUSION: Gene-sequencing should be strongly considered for recurrent DSPTC due to significant prognostic and treatment implications of RET fusion identification. The novel finding of USP8 mutation in DSPTC requires further investigation into its potential as a driver mutation.",Annals of Surgical Oncology,"Daniel W. Scholfield, Conall W. R. Fitzgerald, Lillian A. Boe, Alana Eagan, Helena Levyn, Bin Xu, R. Michael Tuttle, James A. Fagin, Ashok R. Shaha, Jatin P. Shah, Richard J. Wong, Snehal G. Patel, Ronald Ghossein, Ian Ganly",,English,"Follow-Up Studies; Proto-Oncogene Proteins c-ret*/genetics; Thyroid Cancer, Papillary*/genetics/pathology; Middle Aged; Proto-Oncogene Proteins B-raf/genetics; Oncogene Proteins, Fusion/genetics; High-Throughput Nucleotide Sequencing; Biomarkers, Tumor/genetics; Male; Adult; Young Adult; Thyroid Neoplasms*/genetics/pathology/surgery; Prognosis; Ubiquitin Thiolesterase/genetics; Medicine; Humans; Genomics; Aged; Endosomal Sorting Complexes Required for Transport/genetics; Mutation*; Female; Survival Rate",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12416437,,,"Scholfield DW, Fitzgerald CWR, Boe LA, Eagan A, Levyn H, Xu B, Tuttle RM, Fagin JA, Shaha AR, Shah JP, Wong RJ, Patel SG, Ghossein R, Ganly I. Defining the Genomic Landscape of Diffuse Sclerosing Papillary Thyroid Carcinoma: Prognostic Implications of RET Fusions. Ann Surg Oncol. 2024 Jun 07;31(9):5525–36. doi: 10.1245/s10434-024-15500-9.",3081361|25102847|25141092|46188928|53239799|129073603|134436906,341143076|341143133|341189492|341412949|354348795|438790727|438790728,,,,,,,,,,,,483927445|483927624|483927890|483928292|483928396|483928975|483929251,38847983,20240607
37227145,,10.1007/s12020-024-03867-4,38772990,10.1007/s12020-024-03867-4,PubChem|Springer Nature,Journal Article,Ten years’ real-life experience on the use of multikinase inhibitors in patients with advanced differentiated thyroid cancer,"PURPOSE: To evaluate objective response rates (ORR), progression-free survival (PFS), and overall survival (OS) associated with tyrosine kinase inhibitors (TKIs) in patients with radioiodine refractory differentiated thyroid cancer (RR-DTC). Additionally, to compare: (i) ORR and PFS among patients treated with lenvatinib and sorafenib; (ii) ORR and PFS among patients receiving lenvatinib as first-line vs. second-line and; (iii) adverse effects (AEs) observed in patients treated with these medications. METHODS: Retrospective analysis of RR-DTC adult patients treated with TKIs at the Division of Endocrinology, Hospital de Clinicas, University of Buenos Aires (March 2011-November 2023). RESULTS: Among 43 patients included in the study, 32 received sorafenib (30 as first-line and 2 as second-line), while 29 received lenvatinib (12 as first-line and 17 as second-line). The median PFS and OS for the entire cohort were 32.7 and 39.0 months, respectively. Lenvatinib demonstrated a significantly higher ORR compared to sorafenib (37.9% vs. 9.4%, p = 0.008). However, both drugs exhibited similar median PFS (23.2 vs. 16.0 months, p = 0.419). No significant difference was observed in ORR and PFS between patients receiving first-line vs. second-line lenvatinib. Sorafenib-treated patients experienced higher rates of hand-foot skin syndrome (69% vs. 41%, p = 0.032) and alopecia (25% vs. 3%, p = 0.018), whereas lenvatinib-treated patients had higher rates of proteinuria (31% vs. 0%, p < 0.001) and grade 3 hypertension (31% vs. 9%, p = 0.034). CONCLUSION: TKIs demonstrated efficacy and tolerability comparable to real-world data in RR-DTC. PFS was not statistically different between sorafenib and lenvatinib. Our study will help guide physicians in making informed decisions regarding treatment sequencing with TKIs in these patients.",Endocrine,"Fernando Jerkovich, Soledad Capalbo, Erika Abelleira, Fabián Pitoia",,English,"Middle Aged; Protein Kinase Inhibitors*/therapeutic use/adverse effects; Retrospective Studies; Thyroid Neoplasms*/drug therapy/pathology; Quinolines*/therapeutic use/adverse effects; Treatment Outcome; Progression-Free Survival; Aged; Humans; Female; Phenylurea Compounds*/therapeutic use/adverse effects; Sorafenib*/therapeutic use/adverse effects; Aged, 80 and over; Male; Adult; Medicine; Antineoplastic Agents/therapeutic use/adverse effects",https://pubmed.ncbi.nlm.nih.gov/38772990,,"Adverse events, Differentiated thyroid cancer, Lenvatinib, Progression-free survival, Sorafenib, Tyrosine kinase inhibitors","Jerkovich F, Capalbo S, Abelleira E, Pitoia F. Ten years' real-life experience on the use of multikinase inhibitors in patients with advanced differentiated thyroid cancer. Endocrine. 2024 Aug;85(2):817–26. doi: 10.1007/s12020-024-03867-4. PMID: 38772990.",216239|406563|9823820|9826472|11237762|11525740|25102847|25141092|44462760|46188928|50992434|129073603|129103609|134436906|135566046,341141089|341142581|341142599|341142646|341143133|341186753|341412949|354348795|438790439|438790727|438790728,,,,,,,,,,,,481107592|483926098|483927445|483927624|483927890|483928261|483928292|483928326|483928975|483929222|500825745,38772990,20240521
762631631,,10.1007/s40278-024-57175-9,,10.1007/s40278-024-57175-9,Springer Nature,Journal Article,Antineoplastics,,Reactions Weekly,,,English,Medicine,https://doi.org/10.1007/s40278-024-57175-9,,,Antineoplastics. Reactions Weekly. 2024 Apr 27;2005(1):82. doi: 10.1007/s40278-024-57175-9.,38904|123631|129073603|135565230,341139681|341139746|341142653|438790727,,,,,,,,,,,,481107445|483927624|483927712|483928748,,20240427
762630564,,10.1007/s40278-024-57787-9,,10.1007/s40278-024-57787-9,Springer Nature,Journal Article,Pralsetinib/selpercatinib,,Reactions Weekly,,,English,Medicine,https://doi.org/10.1007/s40278-024-57787-9,,,Pralsetinib/selpercatinib. Reactions Weekly. 2024 Apr 27;2005(1):694. doi: 10.1007/s40278-024-57787-9.,14969|38904|194216|448601|9570985|54684461|129073603|134436906|135565230,341139106|341139640|341139681|341139746|341139811|341141282|341141778|438790727|438790728,,,,,,,,,,,,481106995|481106997|481107445|481107685|483927624|483927712|483928975|483929317|505586146,,20240427
761859735,,10.1007/s40278-024-56540-7,,10.1007/s40278-024-56540-7,Springer Nature,Journal Article,Pralsetinib/selpercatinib,,Reactions Weekly,,,English,Medicine,https://doi.org/10.1007/s40278-024-56540-7,,,Pralsetinib/selpercatinib. Reactions Weekly. 2024 Apr 13;2003(1):709. doi: 10.1007/s40278-024-56540-7.,71329|129073603|134436906,341142376|438790727|438790728,,,,,,,,,,,,483927624|483928078|483928975,,20240413
37007009,PMC10976695,10.1186/s13000-024-01478-1,38539256,10.1186/s13000-024-01478-1,Springer Nature,Case Reports|Journal Article,Concurrent KRAS p.G12C mutation and ANK3::RET fusion in a patient with metastatic colorectal cancer: a case report,"Abstract: Background: Colorectal cancer (CRC) frequently involves mutations in the KRAS gene, impacting therapeutic strategies and prognosis. The occurrence of KRAS mutations typically precludes the presence of RET fusions, with current medical literature suggesting a mutual exclusivity between these two genetic alterations. We present a unique case that challenges this notion. Case Presentation: An 85-year-old female with metastatic CRC was found to have a combination of genetic anomalies that is to the best of our knowledge not yet described in the medical literature: a KRAS p.G12C mutation, associated with oncogenesis and treatment resistance, and an ANK3::RET fusion, an infrequent but targetable mutation in CRC. This molecular profile was uncovered through comprehensive genomic sequencing after the patient experienced metachronous tumor dissemination. The presence of both genetic events complicates the treatment approach. Conclusions: The identification of both a KRAS p.G12C mutation and an ANK3::RET fusion in the same CRC patient adds a new layer to the oncogenic landscape and treatment considerations for CRC. It highlights the intricate decision-making required in the era of precision medicine, where targeted therapies must be carefully chosen and potentially combined to combat complex genetic profiles. The case emphasizes the urgency of investigating the clinical effects of concurrent or sequential use of KRAS p.G12C and RET inhibitors to inform future therapeutic guidelines and improve patient outcomes in similar cases.",Diagnostic Pathology,"Tillmann Bedau, Carina Heydt, Udo Siebolts, Thomas Zander, Max Kraemer, Heike Loeser, Reinhard Buettner, Alexander Quaas",,English,"Medicine; Proto-Oncogene Proteins c-ret; Proto-Oncogene Proteins p21(ras)*/genetics; Carcinogenesis; Humans; Female; Aged, 80 and over; Colonic Neoplasms*; Cell Transformation, Neoplastic; Mutation; Ankyrins",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10976695,,"ANK3::RET fusion., KRAS p.G12C mutation, Genetic profiling, KRAS inhibitors, Metastatic colorectal cancer, Molecular diagnostics, Novel therapeutic strategies, Precision oncology, RET kinase inhibitors, Targeted therapy","Bedau T, Heydt C, Siebolts U, Zander T, Kraemer M, Loeser H, Buettner R, Quaas A. Concurrent KRAS p.G12C mutation and ANK3::RET fusion in a patient with metastatic colorectal cancer: a case report. Diagn Pathol. 2024 Mar 27;19(1):55. PMID: 38539256; PMCID: PMC10976695.",129073603|134436906,438790727|438790728,,,,,,,,,,,,483927624|483928975,38539256,20240327
36961232,PMC11052832,10.1007/s12325-024-02799-9,38509433,10.1007/s12325-024-02799-9,Springer Nature,"Journal Article|Systematic Review|Research Support, Non-U.S. Gov't","Clinical Management of Patients with Non-Small Cell Lung Cancer, Brain Metastases, and Actionable Genomic Alterations: A Systematic Literature Review","INTRODUCTION: Nearly 60% of patients with non-small cell lung cancer (NSCLC) present with metastatic disease, and approximately 20% have brain metastases (BrMs) at diagnosis. During the disease course, 25-50% of patients will develop BrMs. Despite available treatments, survival rates for patients with NSCLC and BrMs remain low, and their overall prognosis is poor. Even with newer agents for NSCLC, options for treating BrMs can be limited by their ineffective transport across the blood-brain barrier (BBB) and the unique brain tumor microenvironment. The presence of actionable genomic alterations (AGAs) is a key determinant of optimal treatment selection, which aims to maximize responses and minimize toxicities. The objective of this systematic literature review (SLR) was to understand the current landscape of the clinical management of patients with NSCLC and BrMs, particularly those with AGAs. METHOD: A Preferred Reporting Items for Systematic Reviews and Meta-Analysis (PRISMA)-compliant SLR was conducted to identify studies in patients with BrMs in NSCLC. Searches used the EMBASE and MEDLINE® databases, and articles published between January 1, 2017 and September 26, 2022 were reviewed. RESULTS: Overall, 179 studies were included in the SLR. This subset review focused on 80 studies that included patients with NSCLC, BrMs, and AGAs (19 randomized controlled trials [RCTs], two single-arm studies, and 59 observational studies). Sixty-four of the 80 studies reported on epidermal growth factor receptor (EGFR) mutations, 14 on anaplastic lymphoma kinase (ALK) alterations, and two on both alterations. Ninety-five percent of studies evaluated targeted therapy. All RCTs allowed patients with previously treated, asymptomatic, or neurologically stable BrMs; the percentage of asymptomatic BrMs varied across observational studies. CONCLUSIONS: Although targeted therapies demonstrate systemic benefits for patients with NSCLC, BrMs, and AGAs, there remains a continued need for effective therapies to treat and prevent BrMs in this population. Increased BBB permeability of emerging therapies may improve outcomes for this population.",Advances in Therapy,"Mustafa Khasraw, Priyanka Yalamanchili, Anu Santhanagopal, Chuntao Wu, Maribel Salas, Jie Meng, Maha Karnoub, Stephen Esker, Enriqueta Felip",,English,"Medicine; Genomics; Anaplastic Lymphoma Kinase/genetics; Humans; Carcinoma, Non-Small-Cell Lung*/genetics/drug therapy; Brain Neoplasms*/secondary/genetics/therapy; Mutation; Lung Neoplasms*/genetics/pathology",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11052832,,"EGFR mutation, Brain metastases, NSCLC, Systematic literature review","Khasraw M, Yalamanchili P, Santhanagopal A, Wu C, Salas M, Meng J, Karnoub M, Esker S, Felip E. Clinical Management of Patients with Non-Small Cell Lung Cancer, Brain Metastases, and Actionable Genomic Alterations: A Systematic Literature Review. Adv Ther. 2024 Mar 21;41(5):1815–42. doi: 10.1007/s12325-024-02799-9.",5394|123631|176870|9823820|9915743|10184653|11511120|11626560|22024915|25141092|25145656|25171648|42611257|44462760|50992434|53239799|56960363|57379345|68165256|71496458|71731823|121269225|129073603|129631892|134436906,341141347|341141709|341142581|341142599|341142605|341142624|341142653|341143321|341143361|341170512|341171390|341186753|341189488|341189492|341189843|341191038|341191455|341412949|341487865|354346251|354700360|375895803|378125454|438790727|438790728,,,,,,,,,,,,481107139|483927077|483927235|483927279|483927281|483927624|483927683|483928135|483928205|483928210|483928261|483928281|483928292|483928326|483928396|483928543|483928748|483928975|483929222|500780410|500791092|504687745|505580877|505794397|516576700,38509433,20240321
760535234,,10.1007/s44178-024-00069-w,,10.1007/s44178-024-00069-w|10.1007/s44178-024-00078-9,Springer Nature,Journal Article,CACA guidelines for holistic integrative management of adult acute myeloid leukemia,"Abstract: Lung cancer (LC) is among the malignant tumors with the highest disease burden in the world, accounting for approximately 11.4% of all cancer cases, and LC was the 2nd most common type of malignant tumor. The editing of the CACA Guidelines for Holistic Integrative Management of Lung Cancer aimed to facilitate the enhancement of lung cancer diagnosis and comprehensive treatment in China.The CACA Guidelines for Holistic Integrative Management of Lung Cancer include the epidemiology, the early detection, the comprehensive diagnosis, the treatment (including surgical, medical and radiological treatment), rehabilitation, and some general principles for both non-small cell lung cancer (NSCLC) and small cell lung cancer (SCLC).The main objective of this guideline is to standardize the clinical diagnosis and treatment process of lung cancer, with a specific focus on enhancing the management of this disease in China.",Holistic Integrative Oncology,"Hui Wei, Yingchang Mi, Ying Wang, Erlie Jiang, Jianda Hu, Xiaojing Yan, Yanqiu Han, Yongrong Lai, Yong You, Sujun Gao, Chunji Gao, Bing Xu, Wenjuan Yu, Jieping Chen, Suning Chen, Tiejun Gong, Linhua Yang, Jianmin Yang, Xin Du, Xin Du, Wei Li, Fei Li, Yan Li, Jian Li, Junmin Li, Jie Jin, Xi Zhang, Mei Zhang, Yu Zhang, Guangsen Zhang, Xianmin Song, Yongping Song, Qian Jiang, Tong Wu, Ting Liu, Zhuogang Liu, Daihong Liu, Hanyun Ren, Ru Feng, Rong Fu, Honghu Zhu, Zimin Sun, Jianmin Wang, Xin Wang, Jishi Wang, Shaoyuan Wang, Meiyun Fang, He Huang, Yu Hu, Qifa Liu, Jun Ma, Zhixiang Shen, Depei Wu, Xiaojun Huang, Jianfeng Zhou, Chunyan Ji, Lugui Qiu, Jianyong Li, Jianxiang Wang",,English,Medicine,https://doi.org/10.1007/s44178-024-00069-w,,,"Wei H, Mi Y, Wang Y, Jiang E, Hu J, Yan X, Han Y, Lai Y, You Y, Gao S, Gao C, Xu B, Yu W, Chen J, Chen S, Gong T, Yang L, Yang J, Du X, Du X, Li W, Li F, Li Y, Li J, Li J, Jin J, Zhang X, Zhang M, Zhang Y, Zhang G, Song X, Song Y, Jiang Q, Wu T, Liu T, Liu Z, Liu D, Ren H, Feng R, Fu R, Zhu H, Sun Z, Wang J, Wang X, Wang J, Wang S, Fang M, Huang H, Hu Y, Liu Q, Ma J, Shen Z, Wu D, Huang X, Zhou J, Ji C, Qiu L, Li J, Wang J. CACA guidelines for holistic integrative management of adult acute myeloid leukemia. Holist Integ Oncol. 2024 Mar 14;3(1). doi: 10.1007/s44178-024-00078-9.",581|588|1175|2116|2973|5865|6049|6780|9444|10917|36314|36462|38904|60700|60750|60825|123631|148124|176870|444795|451668|5281915|5702198|11094963|11626560|22024915|24728625|25141092|25145656|44462760|53239799|54670067|56960363|57379345|68165256|68289010|71496458|71731823|129073603|135398508|135401907|135565230|135565923,341138795|341138811|341139005|341139396|341139435|341139559|341139586|341139615|341139676|341139678|341139681|341139702|341139707|341139713|341139746|341139751|341139758|341139818|341140227|341140388|341140798|341140972|341141078|341141121|341141173|341141221|341141347|341142599|341142653|341143321|341143361|341143724|341189488|341189492|341189843|341191038|341412949|341487716|341487865|354346251|354700360|438790353|438790727,,,,,,,,,,,,481106897|481107048|481107112|481107132|481107139|481107284|481107436|481107445|481107502|481107658|481107679|481107711|481107957|481108036|483924386|483925229|483926503|483926977|483927077|483927235|483927483|483927624|483927683|483927712|483927943|483927944|483928205|483928210|483928242|483928292|483928326|483928396|483928543|483928748|500780410|500791092|500822294|505794155|505880548|516568056|516579639,,20240314
36928484,PMC11015073,10.1002/psp4.13114,38481038,10.1002/psp4.13114,PubChem,Journal Article,Understanding <scp>CYP3A4</scp> and P‐gp mediated <scp>drug–drug</scp> interactions through <scp>PBPK</scp> modeling – Case example of pralsetinib,"Abstract: Pralsetinib, a potent and selective inhibitor of oncogenic RET fusion and RET mutant proteins, is a substrate of the drug metabolizing enzyme CYP3A4 and a substrate of the efflux transporter P‐gp based on in vitro data. Therefore, its pharmacokinetics (PKs) may be affected by co‐administration of potent CYP3A4 inhibitors and inducers, P‐gp inhibitors, and combined CYP3A4 and P‐gp inhibitors. With the frequent overlap between CYP3A4 and P‐gp substrates/inhibitors, pralsetinib is a challenging and representative example of the need to more quantitatively characterize transporter‐enzyme interplay. A physiologically‐based PK (PBPK) model for pralsetinib was developed to understand the victim drug–drug interaction (DDI) risk for pralsetinib. The key parameters driving the magnitude of pralsetinib DDIs, the P‐gp intrinsic clearance and the fraction metabolized by CYP3A4, were determined from PBPK simulations that best captured observed DDIs from three clinical studies. Sensitivity analyses and scenario simulations were also conducted to ensure these key parameters were determined with sound mechanistic rationale based on current knowledge, including the worst‐case scenarios. The verified pralsetinib PBPK model was then applied to predict the effect of other inhibitors and inducers on the PKs of pralsetinib. This work highlights the challenges in understanding DDIs when enzyme‐transporter interplay occurs, and demonstrates an important strategy for differentiating enzyme/transporter contributions to enable PBPK predictions for untested scenarios and to inform labeling.",CPT: Pharmacometrics & Systems Pharmacology,"Christine Bowman, Michael Dolton, Fang Ma, Sravanthi Cheeti, Denison Kuruvilla, Rucha Sane, Nastya Kassir, Yuan Chen","Genentech, Inc. South San Francisco California USA",English,"Cytochrome P-450 CYP3A Inhibitors/pharmacology; Pyrimidines*; Pyridines; Drug Interactions; Humans; Models, Biological; Cytochrome P-450 CYP3A*/metabolism; Pyrazoles*; Membrane Transport Proteins",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11015073,,,"Bowman C, Dolton M, Ma F, Cheeti S, Kuruvilla D, Sane R, Kassir N, Chen Y. Understanding <scp>CYP3A4</scp> and P‐gp mediated <scp>drug–drug</scp> interactions through <scp>PBPK</scp> modeling – Case example of pralsetinib. CPT Pharmacom & Syst Pharma. 2024 Mar 13;13(4):660–72. doi: 10.1002/psp4.13114.",581866|129073603,,,,,,,,,,,,,,38481038,20240313
36930222,PMC10933304,10.1038/s41523-024-00626-6,38472216,10.1038/s41523-024-00626-6,Springer Nature,Journal Article|Review,Circulating tumor DNA validity and potential uses in metastatic breast cancer,"Abstract: Following the first characterization of circulating tumor DNA (ctDNA) in the 1990s, recent advances led to its introduction in the clinics. At present, the European Society Of Medical Oncology (ESMO) recommendations endorse ctDNA testing in routine clinical practice for tumor genotyping to direct molecularly targeted therapies in patients with metastatic cancer. In studies on metastatic breast cancer, ctDNA has been utilized for treatment tailoring, tracking mechanisms of drug resistance, and for predicting disease response before imaging. We review the available evidence regarding ctDNA applications in metastatic breast cancer.",npj Breast Cancer,"Ottavia Amato, Nefeli Giannopoulou, Michail Ignatiadis",,English,Biomedical and Life Sciences,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10933304,,,"Amato O, Giannopoulou N, Ignatiadis M. Circulating tumor DNA validity and potential uses in metastatic breast cancer. NPJ Breast Cancer. 2024 Mar 12;10(1):21. PMID: 38472216; PMCID: PMC10933304.",60198|60953|104741|5330286|6442177|9915743|23642301|23725625|25141092|25227436|44631912|46188928|46220502|56649450|129073603|134436906|135565082,341139549|341139566|341141968|341142836|341143310|341171390|341188640|341188642|341198783|341199284|341412949|354344563|354348795|384646115|438790511|438790727|438790728,,,,,,,,,,,,481107437|483926262|483927056|483927190|483927279|483927292|483927293|483927348|483927445|483927579|483927588|483927624|483928250|483928292|483928383|483928975|505569472,38472216,20240312
